timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1578491301727,84,Search-1,200,OK,Main 1-4,text,true,,95351,457,7,7,https://www.bing.com:443/?toWww=1&redig=A66B75CD37CE4FBABB6CF045ADC10F1A,82,0,0
1578491301666,275,Login,200,OK,Main 1-7,text,true,,97533,829,8,8,https://www.bing.com:443/?toWww=1&redig=D6AF00FC190841F08FBB091D69260B3C,96,0,35
1578491301666,96,Login-0,301,,Main 1-7,text,true,,1011,113,8,8,https://bing.com/,96,0,35
1578491301762,149,Login-1,200,OK,Main 1-7,text,true,,95870,276,8,8,https://www.bing.com:443/?toWww=1&redig=D6AF00FC190841F08FBB091D69260B3C,130,0,47
1578491301912,29,Login-2,200,OK,Main 1-7,bin,true,,652,440,8,8,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,29,0,0
1578491301889,158,Search,200,OK,Main 1-2,text,true,,97533,829,8,8,https://www.bing.com:443/?toWww=1&redig=8D0BF3980D1E4A84824811A4EA32EAFA,57,0,0
1578491301889,57,Search-0,301,,Main 1-2,text,true,,1011,113,8,8,https://bing.com/,57,0,0
1578491301947,81,Search-1,200,OK,Main 1-2,text,true,,95870,276,8,8,https://www.bing.com:443/?toWww=1&redig=8D0BF3980D1E4A84824811A4EA32EAFA,79,0,0
1578491302030,17,Search-2,200,OK,Main 1-2,bin,true,,652,440,8,8,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,17,0,0
1578491301793,292,Search,200,OK,Main 1-1,text,true,,97532,829,8,8,https://www.bing.com:443/?toWww=1&redig=D8F159F8CB4A494D8FBAA03808C5556A,128,0,0
1578491301793,128,Search-0,301,,Main 1-1,text,true,,1011,113,8,8,https://bing.com/,128,0,0
1578491301922,143,Search-1,200,OK,Main 1-1,text,true,,95869,276,8,8,https://www.bing.com:443/?toWww=1&redig=D8F159F8CB4A494D8FBAA03808C5556A,142,0,0
1578491302067,18,Search-2,200,OK,Main 1-1,bin,true,,652,440,8,8,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
1578491302066,143,Search,200,OK,Main 1-5,text,true,,95944,859,9,9,https://www.bing.com:443/?toWww=1&redig=78709B378B4D45158BFBD33123670572,62,0,0
1578491302066,62,Search-0,301,,Main 1-5,text,true,,593,402,9,9,https://bing.com/,62,0,0
1578491302128,81,Search-1,200,OK,Main 1-5,text,true,,95351,457,9,9,https://www.bing.com:443/?toWww=1&redig=78709B378B4D45158BFBD33123670572,79,0,0
1578491301916,389,Login,200,OK,Main 1-8,text,true,,97532,829,9,9,https://www.bing.com:443/?toWww=1&redig=5F8040D945374B26BA169688B35B6650,165,0,36
1578491301916,165,Login-0,301,,Main 1-8,text,true,,1011,113,9,9,https://bing.com/,165,0,36
1578491302082,198,Login-1,200,OK,Main 1-8,text,true,,95869,276,9,9,https://www.bing.com:443/?toWww=1&redig=5F8040D945374B26BA169688B35B6650,181,0,35
1578491302288,17,Login-2,200,OK,Main 1-8,bin,true,,652,440,9,9,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,17,0,0
1578491302167,237,Search,200,OK,Main 1-3,text,true,,97532,829,9,9,https://www.bing.com:443/?toWww=1&redig=7066605014E5407EB8EFE2AEA2DA99E5,62,0,0
1578491302167,62,Search-0,301,,Main 1-3,text,true,,1011,113,9,9,https://bing.com/,62,0,0
1578491302229,151,Search-1,200,OK,Main 1-3,text,true,,95869,276,9,9,https://www.bing.com:443/?toWww=1&redig=7066605014E5407EB8EFE2AEA2DA99E5,149,0,0
1578491302383,21,Search-2,200,OK,Main 1-3,bin,true,,652,440,9,9,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,21,0,0
1578491302166,257,Login,200,OK,Main 1-9,text,true,,97533,829,10,10,https://www.bing.com:443/?toWww=1&redig=D694AA7BC17E4C3786AE46E47F0B34B9,94,0,34
1578491302166,94,Login-0,301,,Main 1-9,text,true,,1011,113,10,10,https://bing.com/,94,0,34
1578491302262,138,Login-1,200,OK,Main 1-9,text,true,,95870,276,10,10,https://www.bing.com:443/?toWww=1&redig=D694AA7BC17E4C3786AE46E47F0B34B9,122,0,43
1578491302404,19,Login-2,200,OK,Main 1-9,bin,true,,652,440,10,10,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,19,0,0
1578491302467,145,Search,200,OK,Main 1-6,text,true,,95944,859,10,10,https://www.bing.com:443/?toWww=1&redig=2F2DFED55BB540138C6AFBA633904ADF,64,0,0
1578491302467,64,Search-0,301,,Main 1-6,text,true,,593,402,10,10,https://bing.com/,64,0,0
1578491302531,81,Search-1,200,OK,Main 1-6,text,true,,95351,457,10,10,https://www.bing.com:443/?toWww=1&redig=2F2DFED55BB540138C6AFBA633904ADF,79,0,0
1578491302415,254,Login,200,OK,Main 1-10,text,true,,97533,829,11,11,https://www.bing.com:443/?toWww=1&redig=BE94777C346243919EBFCE5D60E22B46,97,0,34
1578491302415,97,Login-0,301,,Main 1-10,text,true,,1011,113,11,11,https://bing.com/,97,0,34
1578491302512,136,Login-1,200,OK,Main 1-10,text,true,,95870,276,11,11,https://www.bing.com:443/?toWww=1&redig=BE94777C346243919EBFCE5D60E22B46,120,0,39
1578491302650,19,Login-2,200,OK,Main 1-10,bin,true,,652,440,11,11,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,19,0,0
1578491302717,171,Search,200,OK,Main 1-4,text,true,,97533,829,11,11,https://www.bing.com:443/?toWww=1&redig=12FBB2CEB912402289826BA712C900AA,67,0,0
1578491302717,67,Search-0,301,,Main 1-4,text,true,,1011,113,11,11,https://bing.com/,67,0,0
1578491302784,82,Search-1,200,OK,Main 1-4,text,true,,95870,276,11,11,https://www.bing.com:443/?toWww=1&redig=12FBB2CEB912402289826BA712C900AA,79,0,0
1578491302868,20,Search-2,200,OK,Main 1-4,bin,true,,652,440,11,11,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,20,0,0
1578491302667,254,Login,200,OK,Main 1-11,text,true,,97533,829,12,12,https://www.bing.com:443/?toWww=1&redig=FC6925CEED3A4043B5EBFB6F725BE9D7,99,0,36
1578491302667,99,Login-0,301,,Main 1-11,text,true,,1011,113,12,12,https://bing.com/,99,0,36
1578491302766,135,Login-1,200,OK,Main 1-11,text,true,,95870,276,12,12,https://www.bing.com:443/?toWww=1&redig=FC6925CEED3A4043B5EBFB6F725BE9D7,118,0,34
1578491302902,19,Login-2,200,OK,Main 1-11,bin,true,,652,440,12,12,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,19,0,0
1578491302866,154,Search,200,OK,Main 1-7,text,true,,95944,859,12,12,https://www.bing.com:443/?toWww=1&redig=69E6CB31F0D84F1DAC571766553B8589,61,0,0
1578491302866,61,Search-0,301,,Main 1-7,text,true,,593,402,12,12,https://bing.com/,61,0,0
1578491302927,93,Search-1,200,OK,Main 1-7,text,true,,95351,457,12,12,https://www.bing.com:443/?toWww=1&redig=69E6CB31F0D84F1DAC571766553B8589,81,0,0
1578491302915,278,Login,200,OK,Main 1-12,text,true,,97533,829,13,13,https://www.bing.com:443/?toWww=1&redig=2DDA6EC3E6C44AF6A51EE33B718D26C7,102,0,36
1578491302915,102,Login-0,301,,Main 1-12,text,true,,1011,113,13,13,https://bing.com/,102,0,36
1578491303019,145,Login-1,200,OK,Main 1-12,text,true,,95870,276,13,13,https://www.bing.com:443/?toWww=1&redig=2DDA6EC3E6C44AF6A51EE33B718D26C7,129,0,43
1578491303170,23,Login-2,200,OK,Main 1-12,bin,true,,652,440,13,13,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,23,0,0
1578491302993,266,Search,200,OK,Main 1-1,text,true,,97533,829,13,13,https://www.bing.com:443/?toWww=1&redig=8798CA74D79B4C629B179C667C203A53,108,0,44
1578491302993,108,Search-0,301,,Main 1-1,text,true,,1011,113,13,13,https://bing.com/,108,0,44
1578491303101,137,Search-1,200,OK,Main 1-1,text,true,,95870,276,13,13,https://www.bing.com:443/?toWww=1&redig=8798CA74D79B4C629B179C667C203A53,115,0,33
1578491303241,18,Search-2,200,OK,Main 1-1,bin,true,,652,440,13,13,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
1578491303088,245,Search,200,OK,Main 1-2,text,true,,97533,829,13,13,https://www.bing.com:443/?toWww=1&redig=80EC5143E56D4056A7039BB26FBFA229,96,0,35
1578491303088,96,Search-0,301,,Main 1-2,text,true,,1011,113,13,13,https://bing.com/,96,0,35
1578491303185,128,Search-1,200,OK,Main 1-2,text,true,,95870,276,13,13,https://www.bing.com:443/?toWww=1&redig=80EC5143E56D4056A7039BB26FBFA229,112,0,35
1578491303315,18,Search-2,200,OK,Main 1-2,bin,true,,652,440,13,13,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
1578491303266,145,Search,200,OK,Main 1-8,text,true,,95944,859,13,13,https://www.bing.com:443/?toWww=1&redig=FC7F5CCD156E402FB37E1988BB34C5EA,62,0,0
1578491303266,62,Search-0,301,,Main 1-8,text,true,,593,402,13,13,https://bing.com/,62,0,0
1578491303328,83,Search-1,200,OK,Main 1-8,text,true,,95351,457,13,13,https://www.bing.com:443/?toWww=1&redig=FC7F5CCD156E402FB37E1988BB34C5EA,81,0,0
1578491303168,249,Login,200,OK,Main 1-13,text,true,,97533,829,13,13,https://www.bing.com:443/?toWww=1&redig=E8C66F8771B34F05B3F9BE4FF6D528EC,102,0,40
1578491303168,102,Login-0,301,,Main 1-13,text,true,,1011,113,13,13,https://bing.com/,102,0,40
1578491303271,126,Login-1,200,OK,Main 1-13,text,true,,95870,276,13,13,https://www.bing.com:443/?toWww=1&redig=E8C66F8771B34F05B3F9BE4FF6D528EC,109,0,34
1578491303399,18,Login-2,200,OK,Main 1-13,bin,true,,652,440,13,13,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
1578491303418,247,Login,200,OK,Main 1-14,text,true,,97533,829,14,14,https://www.bing.com:443/?toWww=1&redig=36FA94C09332444CB298822E7ECEC1C6,95,0,35
1578491303418,95,Login-0,301,,Main 1-14,text,true,,1011,113,14,14,https://bing.com/,95,0,35
1578491303514,131,Login-1,200,OK,Main 1-14,text,true,,95870,276,14,14,https://www.bing.com:443/?toWww=1&redig=36FA94C09332444CB298822E7ECEC1C6,115,0,37
1578491303646,19,Login-2,200,OK,Main 1-14,bin,true,,652,440,14,14,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,19,0,0
1578491303415,377,Search,200,OK,Main 1-5,text,true,,97532,829,15,15,https://www.bing.com:443/?toWww=1&redig=7C1561FC35414F1E8FB0CA43F9A5DDB9,162,0,34
1578491303415,162,Search-0,301,,Main 1-5,text,true,,1011,113,15,15,https://bing.com/,162,0,34
1578491303577,194,Search-1,200,OK,Main 1-5,text,true,,95869,276,15,15,https://www.bing.com:443/?toWww=1&redig=7C1561FC35414F1E8FB0CA43F9A5DDB9,178,0,33
1578491303773,19,Search-2,200,OK,Main 1-5,bin,true,,652,440,15,15,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,19,0,0
1578491303666,142,Search,200,OK,Main 1-9,text,true,,95944,859,15,15,https://www.bing.com:443/?toWww=1&redig=6E4D56BD93A54854A7DAB782F3BC898D,61,0,0
1578491303666,61,Search-0,301,,Main 1-9,text,true,,593,402,15,15,https://bing.com/,61,0,0
